x,y,region,horizon,host,REE_anom,F_LREE,F_HREE,F_HFSE,favourability
636769.21,917425.33,ROI,S,Metasediment,0.6881747284973092,0.6113620917123096,0.13740854755527127,0.8783432615040179,0.6722504297765162
656218.21,940520.22,ROI,S,Metasediment,0.7358931391189455,0.44812697397353374,0.6223163954743534,0.6744093071602767,0.42873705673050017
636981.38,938891.74,ROI,S,Metasediment,0.6414714317940124,0.904329748530764,0.6291928197337384,0.13365050173909568,0.26350297845120535
637642.13,928309.0,ROI,S,Metasediment,0.23761722148818928,0.1642345980090353,0.7025146923599728,0.5176908007835925,0.19557829928437212
635000.66,924752.78,ROI,S,Metasediment,0.6480293899648739,0.7502498700675648,0.5912925278854996,0.4802702594650782,0.9196018070603287
638281.87,916367.54,ROI,S,Metasediment,0.6990751184299572,0.6828848998520769,0.306440650861552,0.9060488545956102,0.7598448806620557
633092.01,919055.02,ROI,S,Metasediment,0.5228320067029745,0.7329388717866709,0.18922160476552194,0.7787550473753648,0.6427457721984569
626608.37,915357.87,ROI,S,Metasediment,0.8042763687924978,0.7931875424779115,0.353855994882661,0.5379602606644545,0.9127253828009435
665212.26,943578.49,ROI,S,Metasediment,0.5114804550288421,0.6740095150521729,0.134530044376924,0.803382241234558,0.36121216967177067
630932.53,923726.04,ROI,S,Metasediment,0.8613563855499339,0.9598208931355695,0.019389917243033624,0.47731179786511013,0.9680965897733179
634996.56,915201.82,ROI,S,Metasediment,0.6298701298701298,0.41154599608203735,0.536321113021229,0.9142845720225483,0.605804981409667
650595.48,944911.33,ROI,S,Metasediment,0.7012987012987013,0.7750769599808099,0.26786071242953663,0.791548394834686,0.8078998920561308
661263.16,946691.86,ROI,S,Metasediment,0.9122248719022913,0.9993203534162236,0.7952664614400512,0.002838523967536881,0.5221684723943549
640834.61,945051.39,ROI,S,Metasediment,0.161886500596178,0.24787110702434734,0.11997761164194619,0.0825970495342422,0.06032862911286131
648353.8,926784.23,ROI,S,Carbonate,0.8190358029067707,0.6615759804901451,0.2518290488945748,0.7552072922080518,0.9379522648222924
661087.14,940348.22,ROI,S,Metasediment,0.8124859011955787,0.6798065006196777,0.2582257226242354,0.5819773717666813,0.8505577099908048
628436.93,911314.71,ROI,S,Metasediment,0.8430923914794882,0.667053132371167,0.2942869707751969,0.38460000799584215,0.7396553792028145
635527.61,930952.45,ROI,S,Metasediment,0.7845944378202443,0.7749970015591893,0.30855954903450206,0.5982089313556951,0.7572462319593811
643022.12,943585.68,ROI,S,Metasediment,0.5162821049917824,0.3717666813257106,0.42345980090353014,0.7807540079158838,0.41286531003877985
666779.9,941726.88,ROI,S,Metasediment,0.6803519061583578,0.48778635109742935,0.5065366009674969,0.7762363570943109,0.8655099348338864
632550.11,916913.48,ROI,S,Metasediment,0.6979955528342625,0.8163754847479311,0.005876943989125655,0.9085275656658538,0.6562587454523647
650569.46,942437.86,ROI,S,Metasediment,0.5112307047790918,0.3414224603206333,0.5008195738216128,0.7723583736457043,0.41114620397393353
627092.27,916299.66,ROI,S,Metasediment,0.843753021172376,0.9523048015032183,0.3570543317474913,0.3697677207851917,0.9517051133410627
634902.73,929498.77,ROI,S,Metasediment,0.8803132351519448,0.9208811418062608,0.18774237396553792,0.47319393915164115,0.8507576060448567
633137.09,927220.27,ROI,S,Other,0.31602268699042896,0.2953664094670771,0.8479990404989406,0.3279894454883461,0.3534961819853676
